,id,premise,hypothesis,lang_abv,language,label
9895,67899196fc,"моето също, но мисля, че това е истинска реалност за повечето хора.","Мисля, че всички са добре и нямат притеснения!",bg,Bulgarian,2
1444,b7aa670175,The Data Warehousing Academy provides education and training in the data warehouse and business intelligence industry.,The Data Warehouse Institute makes recommendations only in the carpentry industry.,en,English,2
527,c94c3e194b,"Wagenheim said the program would not only benefit those in need, but also help improve the public image of lawyers.","Due to recent scandals, lawyers need positive local press here.",en,English,1
9520,afd4c80b88,"Es ist einfach, wissen Sie, sehen Sie, Sie haben ein Problem.",Es wird Dir gut gehen!,de,German,2
4430,9edae074c1,他意识到他可能不得不快速撤退。,如果他逗留在同一个地方，他会被发现。,zh,Chinese,1
2451,801b49829b,It was deserved.,definitely deserved it,en,English,1
2593,02f10977f3,King-James-Bibelübersetzer übersetzten die Bibel für christliche Leser; Für sie besteht die Bibel aus dem Alten Testament und dem Neuen Testament.,Die King-James-Bibel enthält nur das Alte Testament.,de,German,2
8863,5cb3aa71e9,Gary Oldman transforms into some kind of giant bat hominid and flaps his wings in Dracula. The vampire lord in John Carpenter's Vampires can fly down the road fast enough to catch a speeding car and can stick to the ceiling of a motel room.,Oldman was just a man in production.,en,English,2
6331,af9f81a9a2,All figures presented in this paper are subject to uncertainty due to sampling errors and estimation errors in the econometric estimation procedures used to recover the household demand function,The research carried out in this report is potentially flawed.,en,English,0
9912,19e9bc1487,"During his disastrous campaign in Russia, he found time in Moscow to draw up a new statute for the Com??die-Francaise (the national theatre), which had been dissolved during the Revolution.",Russia has been successfully invaded hundreds of times.,en,English,2
9913,8dfb67d7b4,بالضبط ، لكن أعني القوانين الجديدة ، إنها صعبة للغاية الآن.,بالطبع ، هذا صحيح ، لكن الأمر استغرق وقتًا طويلاً حتى تصبح القواعد حقيقة واقعة.,ar,Arabic,1
9456,eed6119180,"The editors, in turn, arrange to have them all written in case I do.","There are two editors, and one is more often responsible for getting them written than the other.",en,English,1
10718,cc5d55dc92,Eat and shop in and around the once magnificent and heavily fortified Crusader city with its enormous city walls and cathedral.,The formerly heavily guarded Crusader city now has places to eat and shop.,en,English,0
11037,bd9fdf238c,yeah that's probably a bit below what it is for this time of year i think i haven't seen the weather the news the weather on the evening news lately but i think the maximum average would be that it should be around seventy,All I do is watch the weather channel and I'm totally in the know.,en,English,2
753,343ddb4741,بعض اوقات ذاتی پختگی یا زوال کے اس عمل کو (جو بھی آپ منتخب کرتے ہیں) ثقافت میں جو کچھ ہو رہا ہے اس سے تقویت ملتی ہے۔,زیادہ تر لوگ سوچتے ہیں کہ آج کی ثقافت میں پرسنلائزیشن پختہ ہونے کی بجائے بٹی ہوئی ہے۔,ur,Urdu,1
2846,3f0583a792,"There is an exhibition of highland dress, showing how it has evolved through the centuries.","They don't discuss highlander dress, only armour.",en,English,2
6555,ee37da31e2,Pickard ระลึกถึงข้อความสั้น ๆ ที่เขียนเมื่อวันที่ 12 กรกฎาคม,Picard จำสิ่งที่พูดในการบรรยายสรุปได้,th,Thai,0
1550,7e2b0baf7a,"Cornwall Beach, another private beach with perfect sand and sheltered waters, is behind the Jamaica Tourist Office building, a short distance east along Gloucester Avenue.","Another, Cornwall Beach is located behind the tourist office.",en,English,0
8409,04ce55048c,Through responsive and naturalistic approaches.,Through natural and responsive approaches,en,English,0
11123,7ff4361031,"The same year, the University of Hawaii campus at Manoa became the site of the Center for East-West Cultural and Technical Exchange (popularly known as the East West Center), a unique and revered resource for advanced Pacific Rim studies. .",The University of Hawaii has become known as a place for higher education.,en,English,0
3785,c2beb55082,"Нашите най-агресивни респонденти, развълнувани да разкрият цялата креативност наведнъж, пропуснаха книгите и отидоха директно при авторите.",Хората изобщо не реагираха.,bg,Bulgarian,2
7096,88ea406b73,"One of the reasons for the high value of Major League Baseball teams is the prospect of new, publicly funded ballparks. Owners in Baltimore, Cleveland, Chicago, Denver and Texas have all reaped huge profits from these new facilities, which were built at little or no cost to the teams.",MLB owners have been able to make at least 10 million in profit from the new ballparks.,en,English,1
11520,09823f7a2a,Do not you know?,Don't you know?,en,English,0
10781,5090cb20ef,"Sugar plantations, increasingly in the hands of American tycoons, found a ready market in the United States.",The US market was ready for the cane fields.,en,English,0
1962,854f0c3f4c,"Ils ont fini par se retrouver à New York pour rendre visite à la famille de ce cousin et ils y sont restés, et comme il ne savait pas comment rentrer, il est juste resté avec eux.",Il est resté à Brooklyn avec sa famille.,fr,French,1
5266,e22051878c,"IRS Restructuring and Reform Act, its budget requests, and administration of various tax",The IRS Restructuring and Reform Act has budget demands.,en,English,0
3181,f4a50a6bd1,Practice 16: Be attentive to new monitoring tools and methods,Guideline 16 is to require the use of secure passwords.,en,English,2
10875,acc5f563da,"From that position, she could see all of them, and if needed, she could also see through them.",She can't see them.,en,English,2
10788,234e02a15e,"Kwa kiwango hicho, seli ya kawaida haiwezi kuhifadhi habari nyingi.",Fuwele mara nyingi ni mojawapo ya hifadhi za juu zaidi za habari.,sw,Swahili,2
10886,0b5d5a5bc4,“You fooled me about four times in one day.,I'm glad you aren't double crossing me anymore.,en,English,2
2135,9bc80f9406,oh i enjoyed it i mean it was just more bang for my buck,For the time it was worth the money.,en,English,1
8149,305e03b4e3,The committees will gather advice and recommendations from representatives of affected small entities as part of their deliberative process.,Affected small businesses have representatives who provide advice and recommendations to the boards for their advisory process.,en,English,0
10838,d9461f2ada,Ναι είναι πραγματικά ωραίο έβρεχε,Είναι ωραία και βρέχει.,el,Greek,0
4256,4ef3d134c2,Mabadiliko ya maadili ya hoki ya mipaka ambayo hubadilisha maeneo na kiasi cha kiungo cha mraba yanaweza kuonekana kama upotezaji wa jiometri ili iweze kugonga njia tofauti.,Jiometri ya tetrahedra sio ngumu.,sw,Swahili,0
686,dafa540f4e,"From here it all passes through the charming hillside village of St. Claude, with its high-income houses, and towards the summit or as far as the gendarmes allow the traffic of the day.",The gendarmes don't pay attention to the flow of traffic.,en,English,2
8714,855b13ba2e,تمتلئ الشوارع القريبة من مايوركا وفالنسيا وبروفانا بالمتاجر المثيرة للاهتمام.,محلات الشوارع المثيرة للاهتمام في مكان قريب.,ar,Arabic,0
8689,09c71edf60,กฎหมายไม่ได้มีไว้เพื่อผลประโยชน์ส่วนตัวเท่านั้น แต่มีผลกระทบต่อชุมชนหรือประเทศชาติทั้งสิ้น,กฎหมายจะเป็นประโยชน์ต่ออเมริกา,th,Thai,1
11340,7c02f119cc,I am a lacto-vegetarian.,I love cheese too much to quit dairy.,en,English,1
197,840da92d5e,A poll of Hong Kong residents finds them optimistic about the city's future.,A survey of Hong Kong residents found them more serious than ever about the city's future.,en,English,1
174,d37166ccce,"The meeting was attended by over 100 judges, lawyers and dignitaries.",Only two people showed up at the gathering.,en,English,2
9858,2691c2ab96,"Similarly, the OIM has revised the Electronic Authorization Renewal Application to accommodate new information requested by the LSC and to provide greater user convenience.",Changes were made to the grant update application to provide additional information to the LSC.,en,English,0
